Date,Value
2014-02-13,3.0
2014-02-13,7.0
2014-02-13,2
2014-02-13,3
2014-02-13,6
2014-02-13,4.0
2014-02-13,6.0
2014-02-13,6
2014-02-13,4.0
2014-02-13,4.0
2014-02-13,3
2014-02-13,3.0
2014-02-13,4.0
2014-02-13,3.0
2014-02-13,6.0
2014-02-13,6.0
2014-02-13,5.0
2014-02-13,6
2014-02-13,2.0
2014-02-13,3.0
2014-02-13,4.0
2014-02-13,6
2014-02-13,2.0
2014-02-13,3
2014-02-13,3.0
2014-02-13,3.0
2014-02-13,3
2014-02-13,6.0
2014-02-13,2.0
2014-02-13,2
2014-02-13,6
2014-02-13,2.0
2014-02-13,6.0
2014-02-13,6.0
2014-02-13,3.0
2014-02-13,4
2014-02-13,4.0
2014-02-13,4.0
2014-02-13,5
2014-02-13,2.0
2014-02-13,6.0
2014-02-13,4.0
2014-02-13,7.0
2014-02-13,4
2014-02-13,4.0
2014-02-13,3.0
2014-02-13,4
2014-02-13,5.0
2014-02-13,3.0
2014-02-13,3.0
2014-02-13,2.0
2014-02-13,3
2014-02-13,3
2014-02-13,5.0
2014-02-13,4.0
2014-02-13,4.0
2014-02-13,2
2014-02-13,4
2014-02-13,3.0
2014-02-13,7.0
2014-02-13,5.0
2014-02-13,4
2014-02-13,5.0
2014-02-13,5
2014-02-13,4
2014-02-13,5.0
2014-02-13,4.0
2014-02-13,4.0
2014-02-13,3.0
2014-02-13,6.0
2014-02-14,1.0
2014-02-14,4.0
2014-02-14,6.0
2014-02-14,3
2014-02-14,6.0
2014-02-14,3.0
2014-02-14,4
2014-02-14,2.0
2014-02-14,2.0
2014-02-14,5.0
2014-02-14,4
2014-02-14,4.0
2014-02-14,2.0
2014-02-14,3.0
2014-02-14,6.0
2014-02-14,6.0
2014-02-14,1
2014-02-14,6
2014-02-14,3
2014-02-14,4.0
2014-02-14,6
2014-02-14,2
2014-02-14,4.0
2014-02-14,2
2014-02-14,2.0
2014-02-14,3.0
2014-02-14,5.0
2014-02-14,3.0
2014-02-14,1
2014-02-14,6.0
2014-02-14,1.0
2014-02-14,6
2014-02-14,2
2014-02-14,6.0
2014-02-14,3.0
2014-02-14,5
2014-02-14,3.0
2014-02-14,5.0
2014-02-14,5.0
2014-02-14,1.0
2014-02-14,1.0
2014-02-14,4
2014-02-14,2
2014-02-14,2.0
